tpr	epq	score
0.9985	0.1	0.0043
0.9981	0.11	0.0068
0.9976	0.12	0.0102
0.9972	0.13	0.0147
0.9967	0.14	0.0208
0.9962	0.15	0.0285
0.9952	0.16	0.0377
0.9942	0.17	0.0495
0.9932	0.18	0.0637
0.9919	0.19	0.0803
0.9911	0.2	0.0996
0.9898	0.21	0.123
0.9885	0.22	0.1499
0.9871	0.23	0.1816
0.9852	0.24	0.2188
0.9825	0.25	0.2615
0.9804	0.26	0.3088
0.9771	0.27	0.365
0.9735	0.28	0.4286
0.9694	0.29	0.501
0.965	0.3	0.5856
0.9598	0.31	0.6774
0.9536	0.32	0.7831
0.9475	0.33	0.9004
0.9402	0.34	1
0.9331	0.35	1.2
0.9236	0.36	1.3
0.9141	0.37	1.5
0.904	0.38	1.7
0.8923	0.39	1.9
0.8791	0.4	2.1
0.8647	0.41	2.4
0.8488	0.42	2.7
0.8332	0.43	2.9
0.8165	0.44	3.2
0.7979	0.45	3.6
0.778	0.46	3.9
0.7564	0.47	4.4
0.7337	0.48	4.8
0.7103	0.49	5.2
0.6859	0.5	5.7
0.6609	0.51	6.3
0.6356	0.52	6.8
0.6091	0.53	7.4
0.5828	0.54	8.1
0.5566	0.55	8.8
0.5284	0.56	9.5
0.5006	0.57	10.3
0.4741	0.58	11.1
0.447	0.59	12
0.42	0.6	13
0.3935	0.61	14
0.3678	0.62	15
0.343	0.63	16.2
0.3175	0.64	17.5
0.2933	0.65	18.8
0.2693	0.66	20.3
0.2475	0.67	21.8
0.2264	0.68	23.5
0.2059	0.69	25.3
0.1867	0.7	27.3
0.1684	0.71	29.5
0.1525	0.72	31.8
0.1374	0.73	34.3
0.1232	0.74	37
0.1109	0.75	39.9
0.09974	0.76	43
0.08947	0.77	46.5
0.07995	0.78	50.3
0.07142	0.79	54.5
0.06423	0.8	58.8
0.05777	0.81	63.5
0.05165	0.82	69
0.04625	0.83	75.1
0.04164	0.84	81.5
0.03731	0.85	89
0.0335	0.86	97.4
0.03014	0.87	106.7
0.02703	0.88	117.7
0.02427	0.89	130.5
0.02168	0.9	146.2
0.01938	0.91	165
0.01736	0.92	187.8
0.01547	0.93	217.5
0.01368	0.94	258.9
0.01205	0.95	318.2
0.01057	0.96	410.1
0.00916	0.97	579.4
0.007486	0.98	1206
0.005927	0.9866	8.727e+09
SEPQ0.1=0.2175 SEPQ1=0.3488 SEPQ10=0.5054 S1FP=0.4155 N1FP=188949 area=8.51
